"id_article","description","total_weight","total_amount"
6038,"FEGATO BOVINO ADULTO",191.858,1899.59
6039,"CERVELLA BOVINO ADUL",1.166,18.54
6040,"CUORE BOVINO ADULTO",1.050,5.15
6041,"POLMONE BOVINO ADULT",19.718,39.43
6042,"CODA BOVINO ADULTO",31.024,431.25
6043,"TESTINA BOVINO ADULT",21.848,194.46
6044,"MILZA BOVINO ADULTO",5.682,11.36
6045,"RENI BOVINO ADULTO",3.174,14.28
6046,"LINGUA BOVINO ADULTO",6.986,94.32
6047,"ARROSTO DI COSCIA B.",2.696,45.56
6048,"TRIPPA BOVINO ADULTO",127.112,1131.36
6051,"IMPANATE DI POLLO",198.110,2685.05
6052,"LONZA SUINO",204.338,2112.61
6053,"ARROSTO SUINO",1.750,17.32
6054,"FILETTO SUINO",51.004,680.32
6055,"BRACIOLE SUINO",501.363,3783.15
6056,"CAPOCOLLO SUINO",56.638,395.84
6057,"SALSICCIA SUINO",1424.790,14603.36
6058,"COSTINE SUINO",637.003,5292.49
6059,"PANCETTA SUINO",51.665,304.85
6060,"COTENNA SUINO",7.506,26.27
6061,"PIEDINI SUINO",5.036,19.64
6064,"COTECHINI",50.776,553.53
6065,"STINCO SUINO",7.288,43.01
6067,"SPEZZATINO MISTO",0.430,4.69
6070,"FESA TACCHINO",331.744,3324.61
6071,"TOURNADOS TACCHINO",0.792,11.01
6072,"COSCIA TACCHINO",2.800,19.32
6073,"ANCA TACCHINO",4.158,32.85
6074,"FUSELLO TACCHINO",0.22,1.3
6078,"FARAONA",7.832,69.10
6079,"POLLO LIVORNESE",1.12,11.09
6081,"GALLINA",13.160,64.49
6082,"POLLO AL CURRY",42.725,593.94
6084,"ANATRA",2.118,29.44
6086,"CAPPONE",23.872,283.20
6087,"POLLO BUSTO",23.114,136.39
6088,"POLLETTO FARCITO",2.338,39.51
6089,"RUSTICHELLE",343.412,3647.34
6090,"PETTO POLLO",1162.331,12187.40
6091,"COSCE POLLO",414.141,2582.23
6092,"ALI POLLO",3.438,13.40
6093,"ALETTE POLLO",326.074,1563.56
6094,"FUSELLI POLLO",147.286,1163.58
6098,"SALTIMBOCCA SUINO",0.81,10.45
6100,"ROLATINE CONIGLIO",32.057,798.24
6101,"CONIGLIO",193.610,2111.78
6103,"POSTERIORE CONIGLIO",4.770,66.30
6104,"CONIGLIO LIVORNESE",30.153,419.15
6105,"SPALLETTE CONIGLIO",2.160,32.18
6106,"COSCE CONIGLIO",0.622,9.89
6107,"SALAME DI VITELLONE",8.664,137.77
6108,"SALAME PATATA",1.222,15.29
6109,"SALAME CRUDO",5.852,116.47
6110,"FILETTO DI CONIGLIO",6.532,169.19
6112,"CARRE` AGNELLO",71.631,1783.59
6113,"AGNELLO SAPORITO",2.60,41.34
6114,"PUNTINE BOVINO ADULT",21.556,234.97
6115,"NODINI VITELLO",10.922,282.87
6116,"ARROSTICINI POLLO/TA",0.938,13.98
6118,"HAMBURGER TACCHINO",12.797,177.87
6119,"SPIEDINI MISTI",10.374,123.45
6120,"ROLATINE POLLO",213.747,2971.03
6121,"ROLATA POLLO",10.836,150.61
6122,"ARROSTICINI CROCCANT",31.934,562.08
6130,"BRASILIANE BOVINO AD",4.668,70.26
6134,"ANATRA FARCITA",0.28,4.73
6138,"POLPETTONE",12.743,174.89
6139,"POLPETTE PANATE",46.386,644.74
6140,"HAMBURGER TEXANO",5.849,81.31
6146,"PIADA DI CARNE",6.490,77.23
6149,"TRIPPA CONDITA",9.698,96.02
6151,"MILANESI BOVINO ADUL",165.339,3009.75
6153,"CAPOCOLLO AL VERDE",5.438,59.28
6155,"CAPOCOLLO BOSCAIOLA",58.411,636.72
6156,"CAPOCOLLO AL BARBECU",2.152,23.46
6157,"SALSICCIA TACCH/SUIN",0.22,2.18
6158,"COSTINE AL BARBECUE",8.026,87.48
6168,"SPADELLATA TACCHINO",2.926,34.82
6175,"SALSICCIA BACIATA",8.906,105.99
6176,"SCOTTADITO AL LIMONE",1.376,27.38
6179,"FARAONA FARCITA",3.112,61.92
6183,"GALLETTO ALLA LIVORN",1.366,14.89
