"id_article","description","total_weight","total_amount"
2800,"ACCIUGHE AL VERDE",8.2,281.84
2818,"MELANZANE PARMIGIANA",15.396,249.42
2819,"FESA DI TACCHINO CAP",22.386,653.67
2820,"ACCIUGHE SALATE",1.862,44.51
2824,"SALMONE SCOZZESE",0.12,5.99
2826,"NASELLO ALLA GRIGLIA",2.446,56.23
2830,"TONNO E CARCIOFINI",0.708,10.27
2920,"LARDO TOSCANO",0.33,4.58
2931,"BUGIE RIPIENE",7.006,118.42
2943,"SALAME BOCCONCINO",4.746,80.22
2954,"PEC. PASTORE SARDO",0.17,3.89
2955,"BRESAOLA BLACK ANGUS",1.996,57.43
2956,"CAMEMBERT DI CAPRA",0.582,15.72
2969,"TUMA GRASA",0.726,11.03
2972,"GORGONZOLA DOLCE BAS",7.88,118.25
2975,"CRUDO PIEMONTESE",13.178,354.5
2977,"STRACCIATELLA",0.546,8.14
2981,"FONTINA AOSTA DOP",1.48,30.86
2998,"FONDINO",13.314,66.52
2999,"FONDINO",0.578,4.04
