NEGOZIO;TICKET;DATA;REPARTO;FORMATO;PLU;DESCRIZIONE;IVA;PESO;IMPORTO;PREZZO AL KG
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);1892;08/10/2024 09:34;1;T;558;LARDO RUSTICO BIANCO;0.000;0.100;1.490;14.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);1893;08/10/2024 09:36;1;T;546;"""MORTADELLA BOLOGNA IGP CON PISTACCHIO ""PALMIERI """"";0.000;0.106;1.260;11.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);1894;08/10/2024 09:40;1;T;557;TESTA DI SUINO IN CASSETTA-GALANTINA;0.000;0.168;2.670;15.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);1897;08/10/2024 09:44;1;T;543;FESA DI TACCHINO ARROSTO;0.000;0.216;3.220;14.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);1901;08/10/2024 09:53;1;T;531;MANZO AFFUMICATO;0.000;0.052;0.980;18.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);1917;08/10/2024 10:09;1;T;537;PROSC.COTTO A.QUALITA' GRAN BISCOTTO ROVAGNATI;0.000;0.170;5.250;30.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);1925;08/10/2024 10:14;1;T;546;"""MORTADELLA BOLOGNA IGP CON PISTACCHIO ""PALMIERI """"";0.000;0.100;1.190;11.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);1926;08/10/2024 10:15;1;T;507;PANCETTA COPPATA MAGRA;0.000;0.106;2.110;19.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);1927;08/10/2024 10:16;1;T;71;"""PRIMO SALE BIANCO ""LONGO""""";0.000;0.158;1.720;10.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);1940;08/10/2024 10:30;1;T;546;"""MORTADELLA BOLOGNA IGP CON PISTACCHIO ""PALMIERI """"";0.000;0.102;1.210;11.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);1941;08/10/2024 10:30;1;T;546;"""MORTADELLA BOLOGNA IGP CON PISTACCHIO ""PALMIERI """"";0.000;0.112;1.330;11.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);1942;08/10/2024 10:30;1;T;198;"""TOMINI NATURALI SFUSI "" LONGO """"";0.000;0.148;1.760;11.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);1943;08/10/2024 10:30;1;T;25;"""CERTOSA ""GALBANI""""";0.000;0.382;4.160;10.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);1944;08/10/2024 10:31;1;T;71;"""PRIMO SALE BIANCO ""LONGO""""";0.000;0.154;1.680;10.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);1945;08/10/2024 10:32;1;T;62;"""RICOTTA IN FUSCELLE ""CASEIF.PUGLIESE""""";0.000;0.170;1.680;9.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);1946;08/10/2024 10:34;1;T;526;PROSC.COTTO A.QUALITA' NAZIONALE CUORE ROSA LENTI;0.000;0.210;4.390;20.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);1952;08/10/2024 10:43;1;T;516;"""PROSC.COTTO A.QUALITA' ""BONTA' DELLA TRADIZIONE"" LENTI""";0.000;0.204;2.840;13.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);1953;08/10/2024 10:45;1;T;543;FESA DI TACCHINO ARROSTO;0.000;0.178;2.650;14.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);1955;08/10/2024 10:47;1;T;562;PETTO DI POLLO ARROSTO ITALIANO;0.000;0.108;1.830;16.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);1956;08/10/2024 10:49;1;T;536;"""SALAME "" IL GOLFETTA""""";0.000;0.160;4.300;26.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);1959;08/10/2024 10:53;1;T;565;PROSCIUTTO CRUDO SAN DANIELE DOP;0.000;0.160;4.140;25.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);1972;08/10/2024 11:15;1;T;516;"""PROSC.COTTO A.QUALITA' ""BONTA' DELLA TRADIZIONE"" LENTI""";0.000;0.108;1.500;13.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);1975;08/10/2024 11:20;1;T;616;INSALATA RUSSA NORMALE VOGLIAZZI;0.000;0.196;1.740;8.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);1976;08/10/2024 11:21;1;T;812;LASAGNE AL RAGU' TEGLIA     KG 1,5;0.000;0.680;7.410;10.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);1977;08/10/2024 11:23;1;T;546;"""MORTADELLA BOLOGNA IGP CON PISTACCHIO ""PALMIERI """"";0.000;0.210;2.500;11.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);1981;08/10/2024 11:34;1;T;515;"""MORTADELLA  SENZA PISTACCHIO FIOR D'EMILIA "" FELSINEO """"";0.000;0.152;1.500;9.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);1984;08/10/2024 11:57;1;T;531;MANZO AFFUMICATO;0.000;0.204;3.860;18.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);1986;08/10/2024 12:14;1;T;565;PROSCIUTTO CRUDO SAN DANIELE DOP;0.000;0.108;2.800;25.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);1987;08/10/2024 12:15;1;T;616;INSALATA RUSSA NORMALE VOGLIAZZI;0.000;0.142;1.260;8.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);1988;08/10/2024 12:17;1;T;620;ANTIPASTO PIEMONTESE DELIZIA DELLA NONNA;0.000;0.136;2.030;14.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);1992;08/10/2024 12:21;1;T;502;PROSCIUTTO CRUDO  CONTADINO;0.000;0.066;1.310;19.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);1992;08/10/2024 12:21;1;T;49;"""FORMAGGIO ""EDAMER""""";0.000;0.036;0.320;8.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);1993;08/10/2024 12:24;1;T;565;PROSCIUTTO CRUDO SAN DANIELE DOP;0.000;0.174;4.510;25.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);1996;08/10/2024 12:34;1;T;516;"""PROSC.COTTO A.QUALITA' ""BONTA' DELLA TRADIZIONE"" LENTI""";0.000;0.240;3.340;13.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);1998;08/10/2024 12:44;1;T;516;"""PROSC.COTTO A.QUALITA' ""BONTA' DELLA TRADIZIONE"" LENTI""";0.000;0.176;2.450;13.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2000;08/10/2024 12:59;2;T;618;SALSA TONNATA;0.000;0.148;1.910;12.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2001;08/10/2024 13:01;2;T;530;GIRELLO BOVINO COTTO PER VITELLO TONNATO;0.000;0.100;2.890;28.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2002;08/10/2024 13:07;2;T;565;PROSCIUTTO CRUDO SAN DANIELE DOP;0.000;0.100;2.590;25.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2004;08/10/2024 13:11;2;T;546;"""MORTADELLA BOLOGNA IGP CON PISTACCHIO ""PALMIERI """"";0.000;0.360;4.280;11.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2007;08/10/2024 13:14;2;T;502;PROSCIUTTO CRUDO  CONTADINO;0.000;0.062;1.230;19.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2009;08/10/2024 13:16;2;T;526;PROSC.COTTO A.QUALITA' NAZIONALE CUORE ROSA LENTI;0.000;0.120;2.510;20.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2010;08/10/2024 13:17;2;T;78;"""RICOTTA DI PECORA ""CASEIF.MAREMMA""""";0.000;0.162;1.440;8.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2015;08/10/2024 13:35;2;T;515;"""MORTADELLA  SENZA PISTACCHIO FIOR D'EMILIA "" FELSINEO """"";0.000;0.112;1.110;9.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2016;08/10/2024 13:44;2;T;78;"""RICOTTA DI PECORA ""CASEIF.MAREMMA""""";0.000;0.470;4.180;8.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2016;08/10/2024 13:44;2;T;71;"""PRIMO SALE BIANCO ""LONGO""""";0.000;0.190;2.070;10.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2016;08/10/2024 13:44;2;T;3;"PRIMO SALE CON RUCOLA "" LONGO """;0.000;0.188;2.240;11.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2017;08/10/2024 13:46;2;T;516;"""PROSC.COTTO A.QUALITA' ""BONTA' DELLA TRADIZIONE"" LENTI""";0.000;0.152;2.110;13.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2021;08/10/2024 13:51;2;T;531;MANZO AFFUMICATO;0.000;0.148;2.800;18.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2022;08/10/2024 13:53;2;T;522;CARPACCIO NAZIOANALE DI BRESAOLA;0.000;0.152;4.390;28.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2023;08/10/2024 13:59;2;T;565;PROSCIUTTO CRUDO SAN DANIELE DOP;0.000;0.106;2.750;25.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2024;08/10/2024 14:17;2;T;537;PROSC.COTTO A.QUALITA' GRAN BISCOTTO ROVAGNATI;0.000;0.084;2.600;30.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2025;08/10/2024 14:57;100;E;608;PASTICCERIA TIPO D;0.000;0.242;4.090;16.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2026;08/10/2024 14:57;100;E;608;PASTICCERIA TIPO D;0.000;0.250;4.230;16.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2027;08/10/2024 14:58;100;E;608;PASTICCERIA TIPO D;0.000;0.240;4.060;16.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2028;08/10/2024 14:59;100;E;608;PASTICCERIA TIPO D;0.000;0.186;3.140;16.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2029;08/10/2024 14:59;100;E;608;PASTICCERIA TIPO D;0.000;0.166;2.810;16.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2030;08/10/2024 14:59;100;E;608;PASTICCERIA TIPO D;0.000;0.180;3.040;16.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2031;08/10/2024 14:59;100;E;608;PASTICCERIA TIPO D;0.000;0.246;4.160;16.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2035;08/10/2024 15:15;2;T;661;ARANCINI DI PROSCIUTTO E MOZZARELLA;0.000;0.534;6.890;12.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2036;08/10/2024 15:17;2;T;700;AGNOLOTTI PIEMONTESI (DI CARNE);0.000;0.248;2.700;10.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2040;08/10/2024 15:23;2;T;502;PROSCIUTTO CRUDO  CONTADINO;0.000;0.124;2.470;19.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2041;08/10/2024 15:29;2;T;526;PROSC.COTTO A.QUALITA' NAZIONALE CUORE ROSA LENTI;0.000;0.146;3.050;20.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2042;08/10/2024 15:30;2;T;642;"""INSALATA CAPRICCIOSA ""GIALLO UOVO"" VALLEBELBO""";0.000;0.214;2.330;10.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2045;08/10/2024 15:46;2;T;686;SPECK ALTO ADIGE GRAN RESA SENFTER;0.000;0.148;2.800;18.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2046;08/10/2024 15:47;2;T;546;"""MORTADELLA BOLOGNA IGP CON PISTACCHIO ""PALMIERI """"";0.000;0.108;1.290;11.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2047;08/10/2024 15:49;2;T;530;GIRELLO BOVINO COTTO PER VITELLO TONNATO;0.000;0.176;5.090;28.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2048;08/10/2024 15:50;2;T;618;SALSA TONNATA;0.000;0.394;5.080;12.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2049;08/10/2024 15:52;2;T;865;PANE COMUNE;0.000;0.132;0.370;2.790
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2050;08/10/2024 15:53;2;T;515;"""MORTADELLA  SENZA PISTACCHIO FIOR D'EMILIA "" FELSINEO """"";0.000;0.098;0.970;9.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2052;08/10/2024 16:05;2;T;502;PROSCIUTTO CRUDO  CONTADINO;0.000;0.152;3.020;19.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2053;08/10/2024 16:07;2;T;516;"""PROSC.COTTO A.QUALITA' ""BONTA' DELLA TRADIZIONE"" LENTI""";0.000;0.204;2.840;13.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2054;08/10/2024 16:10;2;T;534;BRESAOLA PUNTA D'ANCA  IGP;0.000;0.202;7.050;34.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2057;08/10/2024 16:18;2;T;526;PROSC.COTTO A.QUALITA' NAZIONALE CUORE ROSA LENTI;0.000;0.162;3.390;20.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2058;08/10/2024 16:20;2;T;532;ROAST BEEF A FETTE;0.000;0.130;3.760;28.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2059;08/10/2024 16:22;2;T;526;PROSC.COTTO A.QUALITA' NAZIONALE CUORE ROSA LENTI;0.000;0.096;2.010;20.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2061;08/10/2024 16:33;2;T;7;MOZZARELLA BOCCONCINI DI BUFALA GR.250;0.000;1.000;4.200;4.200
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2062;08/10/2024 16:35;2;T;516;"""PROSC.COTTO A.QUALITA' ""BONTA' DELLA TRADIZIONE"" LENTI""";0.000;0.108;1.500;13.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2064;08/10/2024 16:51;2;T;71;"""PRIMO SALE BIANCO ""LONGO""""";0.000;0.458;4.990;10.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2064;08/10/2024 16:51;2;T;71;"""PRIMO SALE BIANCO ""LONGO""""";0.000;0.196;2.140;10.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2065;08/10/2024 16:52;2;T;516;"""PROSC.COTTO A.QUALITA' ""BONTA' DELLA TRADIZIONE"" LENTI""";0.000;0.116;1.610;13.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2066;08/10/2024 16:54;2;T;516;"""PROSC.COTTO A.QUALITA' ""BONTA' DELLA TRADIZIONE"" LENTI""";0.000;0.216;3.000;13.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2067;08/10/2024 16:55;2;T;49;"""FORMAGGIO ""EDAMER""""";0.000;0.196;1.740;8.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2069;08/10/2024 17:06;2;T;565;PROSCIUTTO CRUDO SAN DANIELE DOP;0.000;0.146;3.780;25.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2070;08/10/2024 17:08;2;T;49;"""FORMAGGIO ""EDAMER""""";0.000;0.154;1.370;8.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2071;08/10/2024 17:25;2;T;546;"""MORTADELLA BOLOGNA IGP CON PISTACCHIO ""PALMIERI """"";0.000;0.210;2.500;11.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2073;08/10/2024 17:27;2;T;516;"""PROSC.COTTO A.QUALITA' ""BONTA' DELLA TRADIZIONE"" LENTI""";0.000;0.104;1.450;13.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2074;08/10/2024 17:32;2;T;516;"""PROSC.COTTO A.QUALITA' ""BONTA' DELLA TRADIZIONE"" LENTI""";0.000;0.202;2.810;13.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2075;08/10/2024 17:54;2;T;537;PROSC.COTTO A.QUALITA' GRAN BISCOTTO ROVAGNATI;0.000;0.154;4.760;30.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2076;08/10/2024 17:56;2;T;565;PROSCIUTTO CRUDO SAN DANIELE DOP;0.000;0.146;3.780;25.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2079;08/10/2024 17:59;2;T;627;FILETTI DI ALICI MARINATI;0.000;0.078;1.790;22.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2080;08/10/2024 18:01;2;T;668;"""INSALATA RUSSA CON TONNO ""GIALLO UOVO""VALLEBELBO""";0.000;0.140;1.950;13.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2081;08/10/2024 18:03;2;T;565;PROSCIUTTO CRUDO SAN DANIELE DOP;0.000;0.108;2.800;25.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2082;08/10/2024 18:04;2;T;516;"""PROSC.COTTO A.QUALITA' ""BONTA' DELLA TRADIZIONE"" LENTI""";0.000;0.110;1.530;13.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2083;08/10/2024 18:06;2;T;78;"""RICOTTA DI PECORA ""CASEIF.MAREMMA""""";0.000;0.216;1.920;8.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2084;08/10/2024 18:15;2;T;516;"""PROSC.COTTO A.QUALITA' ""BONTA' DELLA TRADIZIONE"" LENTI""";0.000;0.198;2.750;13.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2086;08/10/2024 18:20;2;T;531;MANZO AFFUMICATO;0.000;0.100;1.890;18.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2088;08/10/2024 18:27;2;T;515;"""MORTADELLA  SENZA PISTACCHIO FIOR D'EMILIA "" FELSINEO """"";0.000;0.232;2.300;9.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2092;08/10/2024 18:38;2;T;624;PESTO SFUSO GENOVESE;0.000;0.184;2.930;15.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2093;08/10/2024 18:41;2;T;609;PASTICCERIA TIPO M;0.000;0.116;2.080;17.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2093;08/10/2024 18:41;2;T;607;PASTICCERIA TIPO C;0.000;0.116;1.840;15.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2094;08/10/2024 18:44;2;T;502;PROSCIUTTO CRUDO  CONTADINO;0.000;0.156;3.100;19.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2095;08/10/2024 18:51;2;T;531;MANZO AFFUMICATO;0.000;0.100;1.890;18.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2096;08/10/2024 18:53;2;T;546;"""MORTADELLA BOLOGNA IGP CON PISTACCHIO ""PALMIERI """"";0.000;0.186;2.210;11.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2097;08/10/2024 18:54;2;T;638;INSALATA PAESANA CON Cipolline e Tonno;0.000;0.124;1.970;15.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2099;08/10/2024 18:56;2;T;546;"""MORTADELLA BOLOGNA IGP CON PISTACCHIO ""PALMIERI """"";0.000;0.204;2.430;11.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2102;08/10/2024 19:08;2;T;526;PROSC.COTTO A.QUALITA' NAZIONALE CUORE ROSA LENTI;0.000;0.232;4.850;20.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2103;08/10/2024 19:10;2;T;565;PROSCIUTTO CRUDO SAN DANIELE DOP;0.000;0.168;4.350;25.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2105;08/10/2024 19:14;2;T;565;PROSCIUTTO CRUDO SAN DANIELE DOP;0.000;0.204;5.280;25.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2109;08/10/2024 19:27;2;T;516;"""PROSC.COTTO A.QUALITA' ""BONTA' DELLA TRADIZIONE"" LENTI""";0.000;0.176;2.450;13.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2111;08/10/2024 19:33;2;T;3;"PRIMO SALE CON RUCOLA "" LONGO """;0.000;0.174;2.070;11.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2111;08/10/2024 19:33;2;T;71;"""PRIMO SALE BIANCO ""LONGO""""";0.000;0.192;2.090;10.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2169;09/10/2024 09:08;1;T;71;"""PRIMO SALE BIANCO ""LONGO""""";0.000;0.168;1.830;10.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2174;09/10/2024 09:38;1;T;516;"""PROSC.COTTO A.QUALITA' ""BONTA' DELLA TRADIZIONE"" LENTI""";0.000;0.110;1.530;13.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2175;09/10/2024 09:39;1;T;546;"""MORTADELLA BOLOGNA IGP CON PISTACCHIO ""PALMIERI """"";0.000;0.112;1.330;11.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2177;09/10/2024 09:42;1;T;516;"""PROSC.COTTO A.QUALITA' ""BONTA' DELLA TRADIZIONE"" LENTI""";0.000;0.124;1.720;13.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2178;09/10/2024 09:43;1;T;565;PROSCIUTTO CRUDO SAN DANIELE DOP;0.000;0.178;4.610;25.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2179;09/10/2024 09:44;1;T;531;MANZO AFFUMICATO;0.000;0.110;2.080;18.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2186;09/10/2024 09:57;1;T;526;PROSC.COTTO A.QUALITA' NAZIONALE CUORE ROSA LENTI;0.000;0.080;1.670;20.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2194;09/10/2024 10:10;1;T;565;PROSCIUTTO CRUDO SAN DANIELE DOP;0.000;0.206;5.340;25.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2195;09/10/2024 10:12;1;T;520;LONZINO STAGIONATO;0.000;0.112;2.680;23.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2196;09/10/2024 10:14;1;T;516;"""PROSC.COTTO A.QUALITA' ""BONTA' DELLA TRADIZIONE"" LENTI""";0.000;0.224;3.110;13.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2197;09/10/2024 10:15;1;T;49;"""FORMAGGIO ""EDAMER""""";0.000;0.252;2.240;8.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2204;09/10/2024 10:33;1;T;516;"""PROSC.COTTO A.QUALITA' ""BONTA' DELLA TRADIZIONE"" LENTI""";0.000;0.118;1.640;13.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2220;09/10/2024 10:50;1;T;526;PROSC.COTTO A.QUALITA' NAZIONALE CUORE ROSA LENTI;0.000;0.060;1.250;20.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2223;09/10/2024 10:57;1;T;516;"""PROSC.COTTO A.QUALITA' ""BONTA' DELLA TRADIZIONE"" LENTI""";0.000;0.110;1.530;13.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2224;09/10/2024 10:59;1;T;546;"""MORTADELLA BOLOGNA IGP CON PISTACCHIO ""PALMIERI """"";0.000;0.114;1.360;11.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2238;09/10/2024 11:06;1;T;3;"PRIMO SALE CON RUCOLA "" LONGO """;0.000;0.210;2.500;11.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2239;09/10/2024 11:07;1;T;55;TOMINI LONGO SOTT'OLIO SALSA VERDE;0.000;0.120;2.030;16.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2241;09/10/2024 11:10;1;T;49;"""FORMAGGIO ""EDAMER""""";0.000;0.116;1.030;8.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2249;09/10/2024 11:19;1;T;543;FESA DI TACCHINO ARROSTO;0.000;0.128;1.910;14.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2251;09/10/2024 11:21;1;T;504;PROSC.COTTO A.QUALITA' RICCAFETTA RASPINI CINQUE STELLE;0.000;0.214;3.830;17.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2252;09/10/2024 11:23;1;T;501;PROSCIUTTO DI PARMA DOP;0.000;0.220;7.020;31.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2257;09/10/2024 11:29;1;T;89;"""BURRATA ""PIACERI ITALIANI""""";0.000;0.344;6.160;17.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2258;09/10/2024 11:30;1;T;25;"""CERTOSA ""GALBANI""""";0.000;0.352;3.840;10.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2259;09/10/2024 11:31;1;T;532;ROAST BEEF A FETTE;0.000;0.132;3.810;28.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2268;09/10/2024 11:44;3;T;565;PROSCIUTTO CRUDO SAN DANIELE DOP;0.000;0.134;3.470;25.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2270;09/10/2024 11:47;3;T;546;"""MORTADELLA BOLOGNA IGP CON PISTACCHIO ""PALMIERI """"";0.000;0.094;1.120;11.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);2270;09/10/2024 11:47;3;T;504;PROSC.COTTO A.QUALITA' RICCAFETTA RASPINI CINQUE STELLE;0.000;0.106;1.900;17.900
