"id_article","description","total_weight","total_amount"
6717,"ARROSTICINI STUZZIKI",8.192,163.02
6720,"POLLO SPIEDO S/ANTIB",775,5990.5
6724,"ARROSTO VENA CASTR",1.554,29.37
6728,"MUSCOLO CASTRATO",7.920,157.64
6757,"PASTA DI SALSICCIA",1.939,20.35
6801,"FEGATINI CONIGLIO",0.462,4.57
6804,"STRAC.BOV.VERDURE",0.872,15.60
6805,"STRACCETTI MISTI",0.386,4.59
6810,"AGNELLINO IN PARTI",0.63,13.17
6811,"SVIZZERE BOVINO",2.506,34.84
